,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec
2007,,,,,,,,,,1:31,1:30,1:31
2008,1:31, 1:29,"c(1:19,24:31)","c(1:8,13:26)",1:31,,,,,"c(1:23,28:31)",1:30,"c(1:3,9:31)"
2009,1:31,1:28,1:16,2:30,"c(1:3,8:30)",,,,,"c(1:6,11:31)",1:30,1:31
2010,1:13,,,,,,,,,1:31,1:30,1:31
2011,1:31,1:28,1:31,1:30,1:31,,,,,1:31,"c(1,6:30)",1:31
2012,1:31,1:29,"c(5:9,14:31)",1:30,1:31,,,,,1:31,1:30,1:31
2013,1:31,1:28,1:31,1:30,1:31,,,,,1:31,1:30,1:31
2014,1:31,,,,,,,,,,,
